timestamp,title,price,original_price,discount_pct,promo_tag,link
2025-12-05T19:14:57,Sillas Plegables De Plástico Blanca Paquete Con 4 Sillas Color Blanco,1454.0,3100.0,53,,https://mercadolibre.com/sec/2Xi5jYg
2025-12-05T19:15:10,Chaqueta Abrigo Caballero Para Hombre Chamarras Sombrero,289.0,599.0,51,,https://mercadolibre.com/sec/2fUShtH
2025-12-05T19:16:28,Guirnalda De Navidad Decorativa Navideña 180cm Natural Con Luces Led Radiant Dorada 3 Tipo De Rama Diferente Pe & Pvc & Pine Decoración Con Berries Y Esferas Christmas Garland Estructura De Ratán,749.0,1284.0,41,,https://mercadolibre.com/sec/2CaJFs7
2025-12-05T19:17:42,"Paquete Sueros Cuidado Facial Hombre Serum Dia Y Noche 50ml Acido Hialurónico, Retinol Serums Para Rutina Completa Skincare Masculino",269.0,449.0,40,,https://mercadolibre.com/sec/1MGsQKw
2025-12-05T19:24:01,Perchero Zapatera 2 En 1 Organizador Rack Estante Ganchos Color Negro,185.0,298.0,37,,https://mercadolibre.com/sec/2EPsoY6
2025-12-05T19:24:39,Waflera Redonda Eléctrica Para Waffles Fácil Limpiado Antiadherente Color Rojo,179.0,279.0,35,,https://mercadolibre.com/sec/1vFKYWc
2025-12-05T19:24:48,Triciclo Infantil 3 En 1 Para Bebé Bicicleta Tipo Carreola Color Gris,1159.0,1799.0,35,,https://mercadolibre.com/sec/2JZuL4X
2025-12-05T19:26:02,Tenis Dc Shoes Hombre Coiler Negro Skate Casual,1163.0,1799.0,35,,https://mercadolibre.com/sec/1jmBWvR
2025-12-05T19:27:18,Barra De Ejercicios Pared Barra De Dominadas 8 Ejercicios En 1 Color Negro Raganet,849.0,1299.0,34,,https://mercadolibre.com/sec/1WDrj7j
2025-12-05T19:29:34,"Especiero Giratorio, 20 Tarros Vidrio Organizador De Especias Y Condimentos",276.0,399.0,30,,https://mercadolibre.com/sec/328ADP4
2025-12-05T19:30:47,Recipientes Herméticos De Vidrio Almacenamiento Cocina 12 Pz Color Transparente,559.0,799.0,30,,https://mercadolibre.com/sec/1pmMnkP
2025-12-05T19:32:07,Guantes De Nitrilo Libre De Latex Sin Polvo Azul Negro,283.0,399.0,29,,https://mercadolibre.com/sec/2gD8qzC
2025-12-05T19:32:30,Gimnasio Para Bebe Tapete Pelotas Tortuga Actividades Niños Color Verde,498.0,699.0,28,,https://mercadolibre.com/sec/1kJvb89
2025-12-05T19:35:33,"Anfei 1.28 Ft Pantalla Hd Táctil Smart Watch, Reloj Inteligente Hombres Compatible Con Ios/android, Llamada Bluetooth, Ip67 Reloj De Pantalla, Asistente De Voz, Monitoreo De Deportivo Salud, Negro",236.0,499.0,52,,https://mercadolibre.com/sec/2447fDv
2025-12-05T19:36:46,Mesa Plegable De Plástico Portátil Resistente Jardin 1.20 Mt Color Blanco,759.0,1000.0,24,,https://mercadolibre.com/sec/1Bdty7R
2025-12-05T19:37:13,Corral Bebe Gimnasio De Juegos Porterías Y Tablero Infantil,759.0,999.0,24,,https://mercadolibre.com/sec/1FSeyJz
2025-12-05T19:38:33,Recipientes Herméticos De Vidrio Almacenamiento Cocina 5 Pz. Color Transparente,235.0,298.0,21,,https://mercadolibre.com/sec/1bZrRrV
2025-12-05T19:49:50,Pack 2 Sillas De Oficina Giratorias Cuory Negro De Malla Con Altura Ajustable,1549.0,3198.0,51,🔥 Más Vendido,https://mercadolibre.com/sec/1o7pCbM
2025-12-05T19:51:13,"Máquina Rasuradora De Viaje Wahl® Travel Shaver Dorada Inalámbrica Para Barba, Ligera Y Compacta, Rasuradora Ideal Para Viajeros",385.0,499.0,22,🔥 Más Vendido,https://mercadolibre.com/sec/15WiJNP
2025-12-05T19:52:37,Estéreo Retráctil 1din Pantalla Táctil Automática 7 Pulgadas 1din Autoestéreo Para Carro Audio Vehiculos Auto Estéreo Con Bluetooth Mirrorlink Fm Eq Bt Hd Aux Tf Usb Cámara,780.0,1005.0,22,⏰ Oferta del Día,https://mercadolibre.com/sec/1GBdpwf
2025-12-05T19:54:01,"Kids House Tocador De Juguete Para Niñas, Salón De Belleza , Vanity Set, Tocador Con Espejo, Banco Y Accesorios De Madera Juego De Maquillaje Infantil",1478.0,1899.0,22,⏰ Oferta del Día,https://mercadolibre.com/sec/2MV32EY
2025-12-05T19:55:17,Triciclo Apache Con Cajuela Blanco/rosa,938.0,1199.0,21,🔥 Más Vendido,https://mercadolibre.com/sec/2MohbvF
2025-12-05T19:56:35,"Reloj Smartwatch Xiaomi Redmi Watch 5 Lite 1,96 Amoled Bt Gps - Black",799.0,999.0,20,🔥 Más Vendido,https://mercadolibre.com/sec/2EEgxWi
2025-12-05T19:58:22,"Reloj Inteligente Smart Watches, Smartwatch Mujer, 1.85 Smart Watch Mujer, Notificación De Mensajes, Ios/android Smartwatches, Deportivo Salud, Marco De Metal, Lcd Fitness Bluetooth De La Caja Rosa",325.0,739.0,56,,https://mercadolibre.com/sec/2r51iMA
