timestamp,title,reason
2025-12-05T19:59:29.432834,"Bocina 8  Pulgadas Bafle Recargable Msa-7908mx 8hrs 15,000w Pmpo/25w Rms Ksr-link Con Luces Led Control Remoto Y Micrófono Alámbrico De Regalo Color Negro",💳 Digital: 'recarga'
2025-12-05T19:59:29.432834,Parrilla/estufa Mesa De Gas De 4 Quemadores Envio Gratis Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:59:29.432834,Colchoneta Memory Foam Matrimonial Sobre Colchón Fresca 5cm Color Azul,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:59:29.447420,Cubot King Kong 8 Dual Sim 256 Gb Negro 6 Gb Ram,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:59:29.448464,Cubot Kingkong 11 Dual Sim 5g 256 Gb Negro 16 Gb(+16gb) Ram Android 15,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:59:29.448464,Colchón Matrimonial Full Dream Espuma Sky Dream Aglutinado Ortopédico Color Azul,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:29.448464,Bafle Bocina Recargable 15 Pulgadas Kaiser Tripie Microfono Negro,💳 Digital: 'recarga'
2025-12-05T19:59:29.449549,Colchon King Size Bio Cotton Memory Foam Bio Mattress Color Blanco,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:59:39.050058,Colchón Matrimonial Noite Plus Con Memory Adapt Gris,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:39.050058,"Kids House Cocina De Madera Ultimate Expresso, Cocinita De Juguete Infantil, Color Café, Con Refrigerador Y Amplios Espacios Para Almacenar",🏠 Línea blanca/muebles: 'refrigerador'
2025-12-05T19:59:39.050058,Colchón Matrimonial Restonic Moon Care Confort Ortopédico Gris Oscuro,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:39.050058,Xiudeen Parrilla Empotrable A Gas 4 Quemadores Estufa De Gas Mesa Vidrio Templado Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:59:39.050058,Hidrolavadora Electrica 1200w 1600 Psi Alta Presion Amarillo 60hz,🏠 Línea blanca/muebles: 'lavadora'
2025-12-05T19:59:39.050058,"Beyond Vitamins | Magnesio Complex |citrato De Magnesio Polvo, Glicinato De Magnesio, Gluconato De Magnesio Y Óxido De Magnesio | Vitaminas Mujer / Hombre - Magnesium - 180 Cápsulas",💊 Farmacia/suplemento: 'vitamina'
2025-12-05T19:59:39.050058,"Bafle Kaiser Msa-7515mx 15\ Recargable Bt, Altavoz, Negro",💳 Digital: 'recarga'
2025-12-05T19:59:39.050058,Colchón Plus Turin Matrimonial Nuevo Ortopedico Economico Azul Claro,🏠 Línea blanca/muebles: 'matrimonial'
2025-12-05T19:59:39.051281,Silla De Ruedas Plegable De Lujo Acero Compacta Todo Terreno Descansabrazos Cómodos Seguros Negro Medical,📚 Misceláneo: 'silla de ruedas'
2025-12-05T19:59:39.051281,"Bocina 8  Pulgadas Bafle Recargable Msa-7908mx 8hrs 15,000w Pmpo/25w Rms Ksr-link Con Luces Led Control Remoto Y Micrófono Alámbrico De Regalo Color Negro",💳 Digital: 'recarga'
2025-12-05T19:59:39.051281,Parrilla/estufa Mesa De Gas De 4 Quemadores Envio Gratis Color Negro,🏠 Línea blanca/muebles: 'estufa'
2025-12-05T19:59:39.051281,Colchoneta Memory Foam Matrimonial Sobre Colchón Fresca 5cm Color Azul,🏠 Línea blanca/muebles: 'colchon'
2025-12-05T19:59:39.052277,Cubot King Kong 8 Dual Sim 256 Gb Negro 6 Gb Ram,🏠 Línea blanca/muebles: 'king'
2025-12-05T19:59:39.052277,Colchón Restonic King Size Leyen + 5 Años Color Gris Oscuro,🏠 Línea blanca/muebles: 'king'
